               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.02772,            0.012007,           0.0023908,             0.88913,              0.7652,             0.86317,             0.58283,            0.033996,           0.0080185,           0.0013428,           0.0047406,           0.0047406,           0.0047406
                  36,            0.027306,            0.011816,           0.0021838,             0.89279,             0.76772,             0.86083,             0.57871,            0.034031,           0.0080557,           0.0013146,           0.0045859,           0.0045859,           0.0045859
                  37,            0.027291,            0.011965,           0.0023268,             0.88983,             0.76592,             0.85832,             0.57083,            0.034072,           0.0080919,           0.0013278,           0.0044313,           0.0044313,           0.0044313
                  38,            0.027017,            0.011676,           0.0021377,             0.89207,              0.7652,             0.86248,             0.57584,            0.034014,           0.0081167,            0.001327,           0.0042766,           0.0042766,           0.0042766
                  39,            0.026943,            0.011755,           0.0020826,             0.89331,             0.77119,             0.86066,             0.57252,            0.033988,           0.0081224,           0.0013344,           0.0041219,           0.0041219,           0.0041219
                  40,             0.02648,            0.011535,           0.0020685,             0.88961,             0.77971,             0.86168,             0.57642,             0.03388,           0.0081158,            0.001394,           0.0039672,           0.0039672,           0.0039672
                  41,            0.026425,             0.01142,           0.0020957,              0.8873,             0.78334,             0.86216,             0.58345,            0.033824,           0.0080996,           0.0013766,           0.0038125,           0.0038125,           0.0038125
                  42,            0.026144,            0.011441,           0.0020752,             0.88344,             0.78387,             0.86329,             0.58496,            0.033817,             0.00811,           0.0013704,           0.0036578,           0.0036578,           0.0036578
                  43,            0.025814,            0.011313,           0.0019388,             0.88014,             0.78566,              0.8637,             0.58338,            0.033776,           0.0081196,           0.0013695,           0.0035031,           0.0035031,           0.0035031
                  44,            0.025699,            0.011297,           0.0019561,              0.8794,             0.78291,             0.86149,              0.5842,            0.033739,            0.008131,           0.0013776,           0.0033484,           0.0033484,           0.0033484
                  45,            0.025632,             0.01121,           0.0018526,             0.87827,             0.78169,             0.86412,             0.58306,            0.033748,           0.0081272,           0.0013671,           0.0031938,           0.0031938,           0.0031938
                  46,            0.025068,            0.011029,           0.0018622,             0.87794,             0.78258,             0.86532,             0.58491,            0.033753,           0.0081158,            0.001364,           0.0030391,           0.0030391,           0.0030391
                  47,            0.024957,            0.011069,           0.0019275,             0.87924,             0.78284,             0.86586,               0.585,            0.033726,           0.0080967,           0.0013397,           0.0028844,           0.0028844,           0.0028844
                  48,            0.024685,            0.010863,           0.0017671,             0.87924,             0.78601,             0.86615,             0.58539,             0.03367,           0.0080738,           0.0013256,           0.0027297,           0.0027297,           0.0027297
                  49,            0.024349,            0.010825,           0.0017339,             0.87873,             0.78842,             0.86523,             0.58725,            0.033629,           0.0080652,           0.0013454,            0.002575,            0.002575,            0.002575
                  50,            0.024229,            0.010614,           0.0017246,             0.87916,             0.78764,              0.8681,             0.58978,            0.033587,           0.0080433,            0.001374,           0.0024203,           0.0024203,           0.0024203
